Zimbabwe ;SUB-SAHARAN AFRICA                 ;12236805;390580;31,3;;;;;;
Zambia ;SUB-SAHARAN AFRICA                 ;11502010;752614;15,3;;;;;;
Yemen ;NEAR EAST                          ;21456188;527970;40,6;;;;;;
Western Sahara ;NORTHERN AFRICA                    ;273008;266000;1,0;;;;;;
West Bank ;NEAR EAST                          ;2460492;5860;419,9;;;;;;
Wallis and Futuna ;OCEANIA                            ;16025;274;58,5;;;;;;
Virgin Islands ;LATIN AMER. & CARIB    ;108605;1910;56,9;;;;;;
Vietnam ;ASIA (EX. NEAR EAST)         ;84402966;329560;256,1;;;;;;
Venezuela ;LATIN AMER. & CARIB    ;25730435;912050;28,2;;;;;;
Vanuatu ;OCEANIA                            ;208869;12200;17,1;;;;;;
Uzbekistan ;C.W. OF IND. STATES ;27307134;447400;61,0;;;;;;
Uruguay ;LATIN AMER. & CARIB    ;3431932;176220;19,5;;;;;;
United States ;NORTHERN AMERICA                   ;298444215;9631420;31,0;;;;;;
United Kingdom ;WESTERN EUROPE                     ;60609153;244820;247,6;;;;;;
United Arab Emirates ;NEAR EAST                          ;2602713;82880;31,4;;;;;;
Ukraine ;C.W. OF IND. STATES ;46710816;603700;77,4;;;;;;
Uganda ;SUB-SAHARAN AFRICA                 ;28195754;236040;119,5;;;;;;
Tuvalu ;OCEANIA                            ;11810;26;454,2;;;;;;
Turks & Caicos Is ;LATIN AMER. & CARIB    ;21152;430;49,2;;;;;;
Turkmenistan ;C.W. OF IND. STATES ;5042920;488100;10,3;;;;;;
Turkey ;NEAR EAST                          ;70413958;780580;90,2;;;;;;
Tunisia ;NORTHERN AFRICA                    ;10175014;163610;62,2;;;;;;
Trinidad & Tobago ;LATIN AMER. & CARIB    ;1065842;5128;207,9;;;;;;
Tonga ;OCEANIA                            ;114689;748;153,3;;;;;;
Togo ;SUB-SAHARAN AFRICA                 ;5548702;56785;97,7;;;;;;
Thailand ;ASIA (EX. NEAR EAST)         ;64631595;514000;125,7;;;;;;
Tanzania ;SUB-SAHARAN AFRICA                 ;37445392;945087;39,6;;;;;;
Tajikistan ;C.W. OF IND. STATES ;7320815;143100;51,2;;;;;;
Taiwan ;ASIA (EX. NEAR EAST)         ;23036087;35980;640,3;;;;;;
Syria ;NEAR EAST                          ;18881361;185180;102,0;;;;;;
Switzerland ;WESTERN EUROPE                     ;7523934;41290;182,2;;;;;;
Sweden ;WESTERN EUROPE                     ;9016596;449964;20,0;;;;;;
Swaziland ;SUB-SAHARAN AFRICA                 ;1136334;17363;65,5;;;;;;
Suriname ;LATIN AMER. & CARIB    ;439117;163270;2,7;;;;;;
Sudan ;SUB-SAHARAN AFRICA                 ;41236378;2505810;16,5;;;;;;
St Pierre & Miquelon ;NORTHERN AMERICA                   ;7026;242;29,0;;;;;;
Sri Lanka ;ASIA (EX. NEAR EAST)         ;20222240;65610;308,2;;;;;;
Spain ;WESTERN EUROPE                     ;40397842;504782;80,0;;;;;;
South Africa ;SUB-SAHARAN AFRICA                 ;44187637;1219912;36,2;;;;;;
Somalia ;SUB-SAHARAN AFRICA                 ;8863338;637657;13,9;;;;;;
Solomon Islands ;OCEANIA                            ;552438;28450;19,4;;;;;;
Slovenia ;EASTERN EUROPE                     ;2010347;20273;99,2;;;;;;
Slovakia ;EASTERN EUROPE                     ;5439448;48845;111,4;;;;;;
Singapore ;ASIA (EX. NEAR EAST)         ;4492150;693;6482,2;;;;;;
Sierra Leone ;SUB-SAHARAN AFRICA                 ;6005250;71740;83,7;;;;;;
Seychelles ;SUB-SAHARAN AFRICA                 ;81541;455;179,2;;;;;;
Serbia ;EASTERN EUROPE                     ;9396411;88361;106,3;;;;;;
Senegal ;SUB-SAHARAN AFRICA                 ;11987121;196190;61,1;;;;;;
Saudi Arabia ;NEAR EAST                          ;27019731;1960582;13,8;;;;;;
Sao Tome & Principe ;SUB-SAHARAN AFRICA                 ;193413;1001;193,2;;;;;;
San Marino ;WESTERN EUROPE                     ;29251;61;479,5;;;;;;
Samoa ;OCEANIA                            ;176908;2944;60,1;;;;;;
Saint Vincent and the Grenadines ;LATIN AMER. & CARIB    ;117848;389;303,0;;;;;;
Saint Lucia ;LATIN AMER. & CARIB    ;168458;616;273,5;;;;;;
Saint Kitts & Nevis ;LATIN AMER. & CARIB    ;39129;261;149,9;;;;;;
Saint Helena ;SUB-SAHARAN AFRICA                 ;7502;413;18,2;;;;;;
Rwanda ;SUB-SAHARAN AFRICA                 ;8648248;26338;328,4;;;;;;
Russia ;C.W. OF IND. STATES ;142893540;17075200;8,4;;;;;;
Romania ;EASTERN EUROPE                     ;22303552;237500;93,9;;;;;;
Reunion ;SUB-SAHARAN AFRICA                 ;787584;2517;312,9;;;;;;
Qatar ;NEAR EAST                          ;885359;11437;77,4;;;;;;
Puerto Rico ;LATIN AMER. & CARIB    ;3927188;13790;284,8;;;;;;
Portugal ;WESTERN EUROPE                     ;10605870;92391;114,8;;;;;;
Poland ;EASTERN EUROPE                     ;38536869;312685;123,3;;;;;;
Philippines ;ASIA (EX. NEAR EAST)         ;89468677;300000;298,2;;;;;;
Peru ;LATIN AMER. & CARIB    ;28302603;1285220;22,0;;;;;;
Paraguay ;LATIN AMER. & CARIB    ;6506464;406750;16,0;;;;;;
Papua New Guinea ;OCEANIA                            ;5670544;462840;12,3;;;;;;
Panama ;LATIN AMER. & CARIB    ;3191319;78200;40,8;;;;;;
Palau ;OCEANIA                            ;20579;458;44,9;;;;;;
Pakistan ;ASIA (EX. NEAR EAST)         ;165803560;803940;206,2;;;;;;
